"sampleID"	"collectionDate"	"siteID"	"FertStatus"	"UTM_Lat_Cord"	"UTM_Lon_Cord"	"percent_soil_moisture_dry_weight"	"leaf_N_percent"	"leaf_C_percent"	"leaf_CN_ratio"	"root_N_percent_subplot"	"root_C_percent_subplot"	"root_CN_ratio_subplot"	"harvest_N_percent"	"harvest_C_percent"	"harvest_CN_ratio"	"plant.height"	"specific.leaf.area"	"core_average_root_width_subplot"	"core_network_area_subplot"	"core_network_perimeter_subplot"	"core_GiA_roots_SRL_subplot"	"core_network_surface_area_subplot"	"core_network_length_subplot"	"core_network_volume_subplot"	"core_root_mass_subplot"	"core_SRL_subplot"	"core_root_tissue_density_subplot"	"pH_MMPRNT_subplot"	"vwc_avg_mean"	"vwc_2_avg_mean"	"soil_temp_1_avg_mean"	"soil_temp_2_avg_mean"	"airtc_avg_mean"	"rh_mean"	"ws_ms_avg_mean"	"rain_mm_tot_sum"	"slrmj_tot_mean"	"vwc_avg_CV"	"vwc_2_avg_CV"	"soil_temp_1_avg_CV"	"soil_temp_2_avg_CV"	"airtc_avg_CV"	"rh_CV"	"ws_ms_avg_CV"	"slrmj_tot_CV"	"ugN_fixed_gdrysoil_day"	"TOC"	"TON"	"TOC_TON_ratio"	"MBC"	"MBN"	"MBC_MBN_ratio"	"lime_index_subplot"	"p_ppm_subplot"	"k_ppm_subplot"	"ca_ppm_subplot"	"mg_ppm_subplot"	"est_ce_subplotc"	"dry_matter_yield_mg_ha_mean"	"As_subplot"	"Ba_subplot"	"Cd_subplot"	"Cr_subplot"	"Cu_subplot"	"Ni_subplot"	"Pb_subplot"	"Zn_subplot"	"Al_subplot"	"B_subplot"	"Co_subplot"	"Fe_259_subplot"	"Li_subplot"	"Mn_257_subplot"	"Na_subplot"	"S_subplot"	"Sr_subplot"	"Ti_subplot"	"V_subplot"	"past_7d_rain"	"event_age"	"event_age_1mm"	"ugN_NH4_g_dry_soil_na"	"ugN_NO3_g_dry_soil_na"	"potential_NH4_mineralization_rate_na"	"potential_NO3_nitrification_rate_na"
"A1"	"5/2/2016"	"LUX"	"Fert"	4703716.458	627213.5823	24.44444444	NA	NA	NA	0.8	37.8	46.59375	0.315656566	45.9505772	145.5714286	25	273.6	0.062272535	17.35485493	698.9067797	171.8001117	73.89529537	377.720339	2.19860357	0.334	1130.899219	0.151914608	6.356666667	0.321125	0.359291667	10.42875	10.1525	8.3505	88.07833333	1.164708333	6.858	0.249486051	0.028367579	0.002780732	0.153208037	0.060643981	0.294290113	0.122245413	0.639686905	1.270095149	NA	93.28437908	21.93471923	4.25281847	426.9390261	46.20112519	9.240879402	70	42	41	910	89	5.39679	8.072523	1.15	101.24	0.15	0	5.42	7.91	12.37	27.4	6581	4.07	4.47	7797	3.65	1024	24.21	95	5.43	24.07	9.85	34.542	0	0	2.402403571	0.699778256	-0.287276978	-0.069457373
"A10"	"5/2/2016"	"LUX"	"Fert"	4703911.004	627274.3501	23.88059701	NA	NA	NA	0.75	42.42	57.36	0.339138405	45.72868928	134.8378378	15.5	281.3809524	0.044896001	23.26515369	1244.211864	451.3151997	91.63498969	649.6864407	1.43954035	0.137	4742.236793	0.095169267	6.146666667	0.321125	0.359291667	10.42875	10.1525	8.3505	88.07833333	1.164708333	6.858	0.249486051	0.028367579	0.002780732	0.153208037	0.060643981	0.294290113	0.122245413	0.639686905	1.270095149	NA	136.3151258	22.83737136	5.968949913	526.9124492	60.67394572	8.684328058	68	15	54	804	133	7.66679	7.329391	2.22	89.35	0.19	2.48	7.47	10.03	15.93	32.15	9702	6.02	4.94	12825	5.75	690	26.49	92	8.23	21.82	13.61	34.542	0	0	2.064348454	0.312060997	-0.259810525	-0.022885352
"A11"	"5/2/2016"	"LUX"	"Fert"	4703909.548	627272.0784	21.11650485	NA	NA	NA	0.75	42.42	57.36	0.339138405	45.72868928	134.8378378	16.5	206.4285714	0.044896001	23.26515369	1244.211864	451.3151997	91.63498969	649.6864407	1.43954035	0.137	4742.236793	0.095169267	6.146666667	0.321125	0.359291667	10.42875	10.1525	8.3505	88.07833333	1.164708333	6.858	0.249486051	0.028367579	0.002780732	0.153208037	0.060643981	0.294290113	0.122245413	0.639686905	1.270095149	NA	99.45318602	16.83043269	5.909128295	416.7307004	56.32068125	7.399248218	68	15	54	804	133	7.66679	7.329391	2.22	89.35	0.19	2.48	7.47	10.03	15.93	32.15	9702	6.02	4.94	12825	5.75	690	26.49	92	8.23	21.82	13.61	34.542	0	0	1.772602939	0.263698577	-0.205900292	-0.003734066
"A12"	"5/2/2016"	"LUX"	"Fert"	4703909.199	627274.1476	21.37592138	NA	NA	NA	0.75	42.42	57.36	0.339138405	45.72868928	134.8378378	20.5	234.2941176	0.044896001	23.26515369	1244.211864	451.3151997	91.63498969	649.6864407	1.43954035	0.137	4742.236793	0.095169267	6.146666667	0.321125	0.359291667	10.42875	10.1525	8.3505	88.07833333	1.164708333	6.858	0.249486051	0.028367579	0.002780732	0.153208037	0.060643981	0.294290113	0.122245413	0.639686905	1.270095149	NA	114.4663829	21.38598528	5.35240165	448.5854581	51.64073247	8.686659477	68	15	54	804	133	7.66679	7.329391	2.22	89.35	0.19	2.48	7.47	10.03	15.93	32.15	9702	6.02	4.94	12825	5.75	690	26.49	92	8.23	21.82	13.61	34.542	0	0	2.113700225	0.306774183	-0.26519887	0.007189889
"A13"	"5/2/2016"	"LUX"	"Unfert"	4703702.612	627218.3931	19.47115385	NA	NA	NA	0.4	43.43	109.8461538	0.278293135	45.52875696	163.6	16	244.030303	0.051759586	13.24683999	625.3983051	307.7990031	50.2181674	308.8305085	1.00335123	0.174	1774.88798	0.173418834	6.326666667	0.321125	0.359291667	10.42875	10.1525	8.3505	88.07833333	1.164708333	6.858	0.249486051	0.028367579	0.002780732	0.153208037	0.060643981	0.294290113	0.122245413	0.639686905	1.270095149	NA	75.30225144	14.46539367	5.205682829	309.9468985	38.04351864	8.14716697	69	32	52	809	123	6.40333	5.425637	1.44	90.87	0.16	0	5.39	7.58	11.95	27.54	6561	4.31	3.87	8320	3.6	750	20.34	95	6.01	33.62	10.81	34.542	0	0	1.690361133	0.405890363	-0.179621549	-0.003585631
"A14"	"5/2/2016"	"LUX"	"Unfert"	4703716.811	627223.3804	24.81389578	NA	NA	NA	0.4	43.43	109.8461538	0.278293135	45.52875696	163.6	22	244.0555556	0.051759586	13.24683999	625.3983051	307.7990031	50.2181674	308.8305085	1.00335123	0.174	1774.88798	0.173418834	6.326666667	0.321125	0.359291667	10.42875	10.1525	8.3505	88.07833333	1.164708333	6.858	0.249486051	0.028367579	0.002780732	0.153208037	0.060643981	0.294290113	0.122245413	0.639686905	1.270095149	NA	159.4113816	28.59675202	5.574457599	450.8664864	38.2658138	11.78248786	69	32	52	809	123	6.40333	5.425637	1.44	90.87	0.16	0	5.39	7.58	11.95	27.54	6561	4.31	3.87	8320	3.6	750	20.34	95	6.01	33.62	10.81	34.542	0	0	2.622885368	0.379133928	-0.316169675	-0.041047048
"A15"	"5/2/2016"	"LUX"	"Unfert"	4703715.192	627220.3689	22.3325062	NA	NA	NA	0.4	43.43	109.8461538	0.278293135	45.52875696	163.6	19	266.675	0.051759586	13.24683999	625.3983051	307.7990031	50.2181674	308.8305085	1.00335123	0.174	1774.88798	0.173418834	6.326666667	0.321125	0.359291667	10.42875	10.1525	8.3505	88.07833333	1.164708333	6.858	0.249486051	0.028367579	0.002780732	0.153208037	0.060643981	0.294290113	0.122245413	0.639686905	1.270095149	NA	97.46976906	15.964107	6.105557239	455.9375286	63.7845543	7.148086768	69	32	52	809	123	6.40333	5.425637	1.44	90.87	0.16	0	5.39	7.58	11.95	27.54	6561	4.31	3.87	8320	3.6	750	20.34	95	6.01	33.62	10.81	34.542	0	0	1.617715082	0.351450046	-0.172542406	0.048341772
"A16"	"5/2/2016"	"LUX"	"Unfert"	4703811.624	627239.2653	22.54098361	NA	NA	NA	0.74	43.23	58.30769231	0.29333838	45.666162	155.6774194	16	277.4090909	0.044688002	15.41647515	841.9576271	449.1233158	58.65628185	417.8050847	0.93026808	0.12	3481.709039	0.128995074	6.291111111	0.321125	0.359291667	10.42875	10.1525	8.3505	88.07833333	1.164708333	6.858	0.249486051	0.028367579	0.002780732	0.153208037	0.060643981	0.294290113	0.122245413	0.639686905	1.270095149	NA	177.8604051	18.68014084	9.521363175	133.2178454	41.36132895	3.220830877	68	22	49	753	111	7.21564	8.248689	1.09	101.75	0.19	0	5.41	7.38	14.49	31.16	7207	4.39	4.38	8774	4.22	1243	20.95	124	5.91	25.73	10.75	34.542	0	0	2.357073116	0.352048982	-0.267290984	-0.024540485
"A17"	"5/2/2016"	"LUX"	"Unfert"	4703817.765	627240.3811	24.6882793	NA	NA	NA	0.74	43.23	58.30769231	0.29333838	45.666162	155.6774194	22	251.1176471	0.044688002	15.41647515	841.9576271	449.1233158	58.65628185	417.8050847	0.93026808	0.12	3481.709039	0.128995074	6.291111111	0.321125	0.359291667	10.42875	10.1525	8.3505	88.07833333	1.164708333	6.858	0.249486051	0.028367579	0.002780732	0.153208037	0.060643981	0.294290113	0.122245413	0.639686905	1.270095149	NA	103.5561761	16.1511439	6.411692989	619.6839766	67.77088775	9.143807868	68	22	49	753	111	7.21564	8.248689	1.09	101.75	0.19	0	5.41	7.38	14.49	31.16	7207	4.39	4.38	8774	4.22	1243	20.95	124	5.91	25.73	10.75	34.542	0	0	2.653391908	0.205282219	-0.316932324	0.03618268
"A18"	"5/2/2016"	"LUX"	"Unfert"	4703826.463	627246.3685	21.51589242	NA	NA	NA	0.74	43.23	58.30769231	0.29333838	45.666162	155.6774194	14	280.9166667	0.044688002	15.41647515	841.9576271	449.1233158	58.65628185	417.8050847	0.93026808	0.12	3481.709039	0.128995074	6.291111111	0.321125	0.359291667	10.42875	10.1525	8.3505	88.07833333	1.164708333	6.858	0.249486051	0.028367579	0.002780732	0.153208037	0.060643981	0.294290113	0.122245413	0.639686905	1.270095149	NA	101.2589735	19.45380254	5.205099275	263.0465926	47.06677836	5.588795362	68	22	49	753	111	7.21564	8.248689	1.09	101.75	0.19	0	5.41	7.38	14.49	31.16	7207	4.39	4.38	8774	4.22	1243	20.95	124	5.91	25.73	10.75	34.542	0	0	1.834729779	0.754006055	-0.20868389	-0.060897682
